Effective From:Â June 01,2020	Product Name	Rs./litreE10 Gasoline	72.03Altron Premium	74.52Action + Diesel	80.15LDO	38.14SKO	35.56JP-1	24.85	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	79.85
Altron Premium	67.26
Altron Plus Diesel	74.6
LDO	0
SKO	0
JP-1	0
	
Effective From:Â August 01,2010	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	80.34
Altron Premium	67.74
Altron Plus Diesel	73.03
LDO	0
SKO	0
JP-1	0
	
Effective From:Â July 01,2010	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	80.61
Altron Premium	67.95
Altron Plus Diesel	71.58
LDO	61.66
SKO	0
JP-1	0
	
Effective From:Â June 01,2010	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	82.04
Altron Premium	69.04
